timestamp_utc,pool,chain,project,symbol,tvl_usd,apy,apy_base,apy_reward,score,candidate
2026-09-06T06:53:05+00:00,3637ce7b-529b-49c1-964c-710a50b2939c,Arbitrum,sky-lending,SUSDS,362472903.0,3.6,3.6,0.0,62.77,NO
2026-09-06T06:53:05+00:00,9d499222-a01a-45bb-bbc9-f01c7923693b,Arbitrum,spark-savings,USDS,362472903.0,3.6,3.6,0.0,62.77,NO
2026-09-06T06:53:05+00:00,8276be38-acc6-4005-ab0d-62680f49f4df,Base,morpho-blue,SIRLOINUSDC,375993900.0,5.6089,2.82088,2.78801,62.5,NO
2026-09-06T06:53:05+00:00,2e53bb82-f13f-4157-a3bf-b1a91b94b6a4,Ethereum,morpho-blue,SENRLUSDV2,349458780.0,6.17831,2.63684,3.54148,62.23,NO
2026-09-06T06:53:05+00:00,a5fab52f-73fa-4f44-9c09-9af1eb20996c,Base,morpho-blue,SPARKUSDC,305882056.0,3.80191,3.80191,0.0,62.21,NO
2026-09-06T06:53:05+00:00,9f71f0fd-cfac-54b1-865e-37338f481708,Ethereum,sky-lending,STUSDS,210016396.0,5.3,5.3,0.0,62.03,NO
2026-09-06T06:53:05+00:00,c5c74dd1-995c-4445-9d84-3e710bad7d52,Ethereum,spark-savings,USDC,309975861.0,3.6,3.6,0.0,61.87,NO
2026-09-06T06:53:05+00:00,a5d67f7e-5b51-4a9d-969d-caf051a7f5a4,Ethereum,spark-savings,USDT,356740222.0,3.25,3.25,0.0,60.92,NO
2026-09-06T06:53:05+00:00,f569e486-da2a-41ef-8bfe-1a4db0d1d268,Ethereum,morpho-blue,SENPYUSDPRIMEV2,198222667.0,6.72721,4.2328,2.49442,60.65,NO
2026-09-06T06:53:05+00:00,19d024ed-9c70-4323-9a81-fe873ea5f0e0,Ethereum,aave-v3,SGHO,161786665.0,4.5,4.5,0.0,59.25,NO
2026-09-06T06:53:05+00:00,4e8cc592-c8d5-4824-8155-128ba521e903,Ethereum,fluid-lending,USDT,132673772.0,5.06,5.06,0.0,58.88,NO
