timestamp_utc,buy_dex,sell_dex,start_usdc,sol_bought,final_usdc,gross_profit_usdc,gross_bps,execution_buffer_bps,stressed_bps,candidate,buy_price_impact_pct,sell_price_impact_pct,buy_latency_ms,sell_latency_ms,buy_route,sell_route
2026-09-06T18:23:10+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.940543682,99.972517,-0.027483,-2.748,20.000,-22.748,NO,0.012690,0.022617,80.8,153.4,Meteora DLMM,Raydium CLMM
2026-09-06T18:56:08+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.944334606,99.971775,-0.028225,-2.823,20.000,-22.823,NO,0.017997,0.012434,48.8,47.9,Raydium CLMM,Meteora DLMM
2026-09-06T18:56:17+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.944215673,99.939356,-0.060644,-6.064,20.000,-26.064,NO,0.013290,0.043679,37.1,54.3,Meteora DLMM,Raydium CLMM
2026-09-06T19:08:34+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.944436321,99.962582,-0.037418,-3.742,20.000,-23.742,NO,0.044307,0.019202,88.9,78.3,Raydium CLMM,Meteora DLMM
2026-09-06T19:08:43+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.944490134,99.953180,-0.046820,-4.682,20.000,-24.682,NO,0.021141,0.037848,97.5,78.3,Meteora DLMM,Raydium CLMM
2026-09-06T20:25:31+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.946308679,99.961282,-0.038718,-3.872,20.000,-23.872,NO,0.016198,0.016938,87.7,138.1,Raydium CLMM,Meteora DLMM
2026-09-06T20:25:41+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.946392410,99.950436,-0.049564,-4.956,20.000,-24.956,NO,0.007416,0.044762,64.5,145.4,Meteora DLMM,Raydium CLMM
2026-09-06T21:11:21+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.942640314,99.952630,-0.047370,-4.737,20.000,-24.737,NO,0.036526,0.022869,38.4,64.0,Raydium CLMM,Meteora DLMM
2026-09-06T21:11:30+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.942989118,99.963711,-0.036289,-3.629,20.000,-23.629,NO,0.023710,0.016502,34.7,44.1,Meteora DLMM,Raydium CLMM
2026-09-06T21:18:37+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.941711060,99.972909,-0.027091,-2.709,20.000,-22.709,NO,0.002441,0.018811,54.1,122.9,Raydium CLMM,Meteora DLMM
2026-09-06T21:18:46+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.941313751,99.945272,-0.054728,-5.473,20.000,-25.473,NO,0.015348,0.035571,20.9,129.7,Meteora DLMM,Raydium CLMM
2026-09-06T22:22:32+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.949976540,99.945523,-0.054477,-5.448,20.000,-25.448,NO,0.045471,0.003776,140.7,141.9,Raydium CLMM,Meteora DLMM
2026-09-06T22:22:42+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.950129676,99.930279,-0.069721,-6.972,20.000,-26.972,NO,0.056708,0.017611,90.9,141.8,Meteora DLMM,Raydium CLMM
2026-09-06T22:55:31+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.944220230,99.963040,-0.036960,-3.696,20.000,-23.696,NO,0.017467,0.021778,100.3,67.2,Raydium CLMM,Meteora DLMM
2026-09-06T22:55:40+00:00,Meteora DLMM,Raydium CLMM,100.000000,0.944211245,99.961766,-0.038234,-3.823,20.000,-23.823,NO,0.008020,0.032551,93.1,69.7,Meteora DLMM,Raydium CLMM
2026-09-07T00:40:13+00:00,Raydium CLMM,Meteora DLMM,100.000000,0.942098698,99.965036,-0.034964,-3.496,20.000,-23.496,NO,0.022831,0.007866,140.0,144.0,Raydium CLMM,Meteora DLMM
