timestamp_utc,symbol,direction,binance_rate,binance_interval_hours,bybit_rate,bybit_interval_hours,spread_bps_per_hour,spread_bps_per_8h,rough_annualized_pct,breakeven_8h_periods,candidate
2026-09-06T18:05:51+00:00,UAIUSDT,long Bitget / short Gate,0.0000500000,4.0000,0.0008590000,8.0000,-0.948750,-7.590000,83.1105,3.953,YES
2026-09-06T18:05:51+00:00,MUUSDT,flat,0.0000000000,8.0000,0.0000000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,SUIUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,DASHUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000030000,8.0000,0.121250,0.970000,10.6215,30.928,NO
2026-09-06T18:05:51+00:00,XAUUSDT,flat,0.0000000000,4.0000,0.0000000000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,TAOUSDT,short Bitget / long Gate,0.0000500000,4.0000,0.0000400000,4.0000,0.025000,0.200000,2.1900,150.000,NO
2026-09-06T18:05:51+00:00,AKEUSDT,short Bitget / long Gate,-0.0014230000,4.0000,-0.0018490000,4.0000,1.065000,8.520000,93.2940,3.521,YES
2026-09-06T18:05:51+00:00,FLOCKUSDT,short Bitget / long Gate,-0.0001370000,4.0000,-0.0009050000,8.0000,0.788750,6.310000,69.0945,4.754,YES
2026-09-06T18:05:51+00:00,NEARUSDT,short Bitget / long Gate,0.0001000000,8.0000,-0.0000390000,8.0000,0.173750,1.390000,15.2205,21.583,NO
2026-09-06T18:05:51+00:00,SOXLUSDT,long Bitget / short Gate,0.0002670000,8.0000,0.0011060000,8.0000,-1.048750,-8.390000,91.8705,3.576,YES
2026-09-06T18:05:51+00:00,PEPEUSDT,flat,0.0001000000,8.0000,0.0001000000,8.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,WLDUSDT,short Bitget / long Gate,0.0001000000,8.0000,-0.0000430000,8.0000,0.178750,1.430000,15.6585,20.979,NO
2026-09-06T18:05:51+00:00,PUMPUSDT,flat,0.0000500000,4.0000,0.0000500000,4.0000,0.000000,0.000000,0.0000,,NO
2026-09-06T18:05:51+00:00,LINKUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000930000,8.0000,0.008750,0.070000,0.7665,428.571,NO
2026-09-06T18:05:51+00:00,LTCUSDT,short Bitget / long Gate,0.0001000000,8.0000,0.0000520000,8.0000,0.060000,0.480000,5.2560,62.500,NO
2026-09-06T18:05:51+00:00,RAYUSDT,long Bitget / short Gate,-0.0002820000,4.0000,-0.0002400000,4.0000,-0.105000,-0.840000,9.1980,35.714,NO
